iter	MAE
0	0.5592317556
5	0.5267998587
10	0.5011961094
15	0.4802931443
20	0.4624366827
25	0.4475090184
30	0.4351239968
35	0.4246196067
40	0.4158708925
45	0.4083292572
50	0.4019712038
55	0.3963924864
60	0.3918812662
65	0.3875895294
70	0.3838583764
75	0.3805912448
80	0.3776402862
85	0.3752193879
90	0.3728533367
95	0.3708018687
100	0.3690348419
105	0.3672321407
110	0.3657166151
115	0.3641467195
120	0.3627176456
125	0.3613760406
130	0.3600316694
135	0.3589582265
140	0.3578236093
145	0.3568635168
150	0.3558566533
155	0.3548925228
160	0.3539008257
165	0.3529921145
170	0.3522393595
175	0.3514477188
180	0.3506351885
185	0.3499385523
190	0.349165957
195	0.3483753019
200	0.3477773903
205	0.3471844069
210	0.3464854497
215	0.3457212801
220	0.3450199382
225	0.3442595205
230	0.3435728999
235	0.3429626834
240	0.3423649308
245	0.3417696264
250	0.3411432897
255	0.3404482751
260	0.3399581179
265	0.3394356566
270	0.3387736456
275	0.3382778606
280	0.3375761372
285	0.3369843302
290	0.3364959854
295	0.3359485648
300	0.3354717617
305	0.3349890446
310	0.3345190139
315	0.3340616059
320	0.3334675415
325	0.3328919184
330	0.3324123809
335	0.3319123354
340	0.3313816709
345	0.3309026421
350	0.330515947
355	0.3299837882
360	0.3295927053
365	0.329230588
370	0.3287582363
375	0.3282503373
380	0.3278787132
385	0.3274972643
390	0.3270448164
395	0.3265620994
400	0.3261559773
405	0.3258158306
410	0.3254423306
415	0.3249578012
420	0.3245602003
425	0.324207558
430	0.3237871599
435	0.3233181148
440	0.3230063296
445	0.3226306357
450	0.3222852427
455	0.3219156853
460	0.3216408463
465	0.3212913518
470	0.3209391546
475	0.3206141743
480	0.3202622315
485	0.319934485
490	0.3195109391
495	0.3190256148
500	0.3186378069
505	0.3182366131
510	0.3179006634
515	0.3176125657
520	0.3173101601
525	0.3169824772
530	0.3166799444
535	0.3163725151
540	0.3160682336
545	0.3157637613
550	0.3154158247
555	0.3150584767
560	0.3147245301
565	0.3144431731
570	0.3140979391
575	0.3137135651
580	0.3133420364
585	0.313006182
590	0.3126809792
595	0.3123482408
600	0.3120061228
605	0.3116743382
610	0.3113768927
615	0.3110744235
620	0.3107981855
625	0.3104999133
630	0.310185807
635	0.3099211424
640	0.3096818824
645	0.3094010022
650	0.3090895032
655	0.3088246161
660	0.3085232279
665	0.3082282306
670	0.3079672543
675	0.3077283123
680	0.3073996119
685	0.3070957755
690	0.3067963268
695	0.306462571
700	0.3061663019
705	0.3059278686
710	0.305697861
715	0.3053814654
720	0.3050892343
725	0.3049190656
730	0.3047095342
735	0.3044529775
740	0.3042589622
745	0.3039560797
750	0.3037576449
755	0.3034658271
760	0.3032633861
765	0.3030267015
770	0.3028048971
775	0.3025912323
780	0.302395214
785	0.3021572893
790	0.301903308
795	0.3016913602
800	0.3014155355
805	0.3011720785
810	0.3009450597
815	0.3007143526
820	0.3005284133
825	0.3003422198
830	0.3000870938
835	0.299929675
840	0.2997518118
845	0.2995331234
850	0.2992919874
855	0.2990646824
860	0.2988921926
865	0.2987138525
870	0.29851847
875	0.2983250589
880	0.298150725
885	0.2979907944
890	0.2977961114
895	0.2975599673
900	0.2973122179
905	0.2971104128
910	0.2968882269
915	0.2967251485
920	0.2964994651
925	0.2963121904
930	0.2960432335
935	0.2958102372
940	0.2956441065
945	0.2954944457
950	0.2953472014
955	0.2951717229
960	0.2950099799
965	0.2948601602
970	0.2946610577
975	0.2944367733
980	0.2942762385
985	0.2940157392
990	0.2938473192
995	0.2936731761
1000	0.2935376007
1005	0.293350326
1010	0.2931786311
1015	0.2930159343
1020	0.2928625217
1025	0.2926231027
1030	0.2924617095
1035	0.2923021286
1040	0.2921128827
1045	0.2919454801
1050	0.2917800171
1055	0.2916511823
1060	0.2914485823
1065	0.2913088735
1070	0.2911904677
1075	0.2910711079
1080	0.2908764885
1085	0.2906771317
1090	0.2904936725
1095	0.2903959336
1100	0.2902696424
1105	0.2900908253
1110	0.2899343286
1115	0.2897219038
1120	0.2895615281
1125	0.2893850003
1130	0.2892108571
1135	0.2890935005
1140	0.2888923313
1145	0.2887122106
