iter	Passed	Remaining
0	76	152330
1	153	153296
2	227	151296
3	292	146198
4	350	139955
5	417	138779
6	472	134451
7	525	130747
8	579	128283
9	634	126359
10	694	125512
11	765	126857
12	834	127608
13	892	126587
14	949	125711
15	1042	129312
16	1097	128063
17	1151	126828
18	1208	125958
19	1265	125298
20	1320	124412
21	1370	123244
22	1424	122457
23	1479	121778
24	1535	121326
25	1593	121007
26	1647	120407
27	1704	120045
28	1759	119577
29	1811	118968
30	1863	118388
31	1919	118026
32	1972	117602
33	2028	117312
34	2090	117380
35	2147	117138
36	2200	116771
37	2276	117530
38	2327	117034
39	2382	116754
40	2435	116373
41	2487	115987
42	2543	115740
43	2595	115371
44	2653	115265
45	2706	114969
46	2761	114763
47	2817	114567
48	2869	114239
49	2922	113965
50	2976	113759
51	3036	113734
52	3092	113595
53	3145	113356
54	3198	113100
55	3252	112903
56	3306	112721
57	3366	112705
58	3419	112495
59	3473	112320
60	3529	112201
61	3584	112056
62	3639	111885
63	3691	111661
64	3746	111519
65	3801	111407
66	3856	111259
67	3910	111097
68	3961	110862
69	4018	110795
70	4073	110668
71	4133	110692
72	4188	110552
73	4241	110383
74	4300	110387
75	4362	110436
76	4423	110471
77	4488	110599
78	4542	110458
79	4598	110371
80	4653	110257
81	4707	110112
82	4760	109942
83	4812	109767
84	4869	109715
85	4932	109772
86	4991	109753
87	5046	109642
88	5101	109538
89	5153	109372
90	5213	109373
91	5276	109433
92	5329	109291
93	5383	109167
94	5437	109044
95	5491	108912
96	5543	108759
97	5609	108867
98	5661	108708
99	5716	108607
100	5770	108493
101	5833	108555
102	5887	108430
103	5945	108387
104	6004	108373
105	6056	108223
106	6114	108167
107	6169	108076
108	6223	107964
109	6278	107875
110	6330	107738
111	6383	107610
112	6435	107471
113	6489	107367
114	6544	107265
115	6597	107156
116	6652	107059
117	6704	106925
118	6758	106836
119	6813	106738
120	6865	106620
121	6918	106494
122	6972	106399
123	7028	106338
124	7082	106234
125	7141	106220
126	7194	106104
127	7247	105995
128	7304	105941
129	7359	105865
130	7413	105773
131	7468	105687
132	7522	105601
133	7576	105506
134	7629	105401
135	7682	105301
136	7736	105198
137	7788	105081
138	7844	105027
139	7898	104933
140	7950	104828
141	8004	104733
142	8059	104660
143	8115	104595
144	8167	104493
145	8220	104390
146	8273	104293
147	8330	104240
148	8383	104142
149	8436	104053
150	8488	103944
151	8541	103852
152	8597	103786
153	8650	103688
154	8702	103588
155	8756	103502
156	8808	103400
157	8866	103367
158	8926	103359
159	8979	103261
160	9033	103185
161	9088	103111
162	9142	103032
163	9196	102956
164	9249	102861
165	9302	102770
166	9361	102748
167	9416	102688
168	9468	102583
169	9521	102493
170	9574	102404
171	9629	102337
172	9683	102269
173	9748	102298
174	9801	102217
175	9856	102148
176	9912	102092
177	9968	102034
178	10020	101935
179	10076	101885
180	10129	101798
181	10185	101741
182	10247	101751
183	10306	101723
184	10362	101661
185	10425	101680
186	10480	101606
187	10533	101524
188	10588	101456
189	10648	101438
190	10705	101389
191	10776	101479
192	10841	101506
193	10911	101581
194	10970	101551
195	11037	101591
196	11094	101538
197	11158	101552
198	11225	101596
199	11288	101600
200	11349	101580
201	11415	101609
202	11473	101568
203	11540	101601
204	11598	101558
205	11660	101544
206	11720	101518
207	11774	101438
208	11829	101371
209	11883	101294
210	11938	101224
211	12000	101212
212	12057	101162
213	12112	101087
214	12168	101027
215	12233	101040
216	12291	100991
217	12350	100956
218	12407	100900
219	12464	100850
220	12517	100765
221	12573	100697
222	12629	100639
223	12686	100589
224	12740	100508
225	12794	100434
226	12850	100369
227	12911	100348
228	12964	100261
229	13019	100190
230	13073	100119
231	13129	100058
232	13183	99977
233	13243	99945
234	13304	99921
235	13360	99867
236	13416	99806
237	13476	99774
238	13530	99693
239	13584	99620
240	13640	99557
241	13703	99549
242	13760	99496
243	13815	99425
244	13868	99344
245	13925	99286
246	13994	99319
247	14054	99285
248	14124	99324
249	14189	99324
250	14255	99335
251	14317	99312
252	14371	99240
253	14439	99260
254	14505	99266
255	14578	99313
256	14644	99317
257	14704	99282
258	14765	99255
259	14828	99238
260	14894	99239
261	14964	99269
262	15025	99236
263	15084	99191
264	15146	99165
265	15211	99161
266	15290	99246
267	15357	99253
268	15426	99266
269	15492	99266
270	15558	99266
271	15622	99249
272	15683	99215
273	15745	99187
274	15809	99170
275	15866	99105
276	15919	99023
277	15971	98934
278	16025	98855
279	16079	98772
280	16133	98692
281	16186	98610
282	16254	98616
283	16308	98539
284	16361	98453
285	16416	98383
286	16468	98296
287	16520	98208
288	16581	98168
289	16635	98093
290	16688	98008
291	16741	97929
292	16797	97863
293	16859	97828
294	16915	97766
295	16972	97708
296	17031	97659
297	17093	97627
298	17150	97566
299	17206	97501
300	17282	97552
301	17345	97526
302	17403	97473
303	17458	97402
304	17511	97317
305	17563	97230
306	17618	97160
307	17675	97101
308	17730	97028
309	17784	96955
310	17843	96904
311	17898	96834
312	17952	96761
313	18005	96681
314	18059	96601
315	18114	96536
316	18169	96463
317	18223	96389
318	18277	96313
319	18335	96262
320	18389	96189
321	18448	96136
322	18512	96115
323	18566	96039
324	18618	95956
325	18671	95878
326	18732	95840
327	18786	95764
328	18844	95709
329	18898	95640
330	18960	95604
331	19025	95586
332	19078	95505
333	19132	95432
334	19188	95370
335	19245	95311
336	19303	95258
337	19363	95214
338	19419	95148
339	19473	95076
340	19527	95002
341	19579	94921
342	19637	94866
